rank,osm_id,fclass,name,type,building_area_m2,buildings_within_250m,dist_road_m,area_score,density_score,road_score,suitability_score,pois_within_500m,dominant_landuse,dominant_landuse_area_m2
22,1485643772,building,,,154.21,9,2.68,0.07637958561964361087,0.50000000000000000000,0.95982783357245337159,0.4685001843195934558250,22,No mapped land use,0
23,1485643776,building,,,321.49,5,1.28,0.22987282303499660494,0.25000000000000000000,1.00000000000000000000,0.4669491292139986419760,1,No mapped land use,0
24,1485643782,building,,,304.50,12,16.34,0.21428309262079976510,0.68750000000000000000,0.56786226685796269727,0.4623219171057087152210,0,residential,18671.39
25,1485643774,building,,,144.43,14,14.61,0.06740562661723954414,0.81250000000000000000,0.61750358680057388809,0.4559633266870679840830,11,No mapped land use,0
26,639679157,building,,,203.19,10,8.46,0.12132278724927052174,0.56250000000000000000,0.79397417503586800574,0.4554713674104686104180,0,residential,21431.67
27,1485643777,building,,,228.60,8,5.37,0.14463856416655961535,0.43750000000000000000,0.88263988522238163558,0.4538973912333383368140,0,No mapped land use,0
28,806448419,building,,,736.26,2,14.83,0.61045860784349709126,0.06250000000000000000,0.61119081779053084648,0.4462906884745580904480,3,forest,16409.66
29,1485643773,building,,,140.00,11,9.27,0.06334073516727532987,0.62500000000000000000,0.77073170731707317073,0.4440558062620320831670,17,No mapped land use,0
30,1246326242,building,,,470.42,12,25.62,0.36652841753684094621,0.68750000000000000000,0.30157819225251076040,0.4433348246904896066040,7,residential,16014.78
31,717906740,building,,,87.40,15,16.96,0.01507588409095079921,0.87500000000000000000,0.55007173601147776184,0.4335518744398236482360,6,No mapped land use,0
32,1246326243,building,,,470.41,13,31.08,0.36651924170964012406,0.75000000000000000000,0.14490674318507890961,0.4150797196393797225070,7,residential,20070.91
33,806448496,building,,,418.95,1,2.98,0.31930043493420931897,0E-20,0.95121951219512195122,0.4130860276322203129540,17,forest,71004.50
34,1485643769,building,,,281.17,4,4.68,0.19287588776128167954,0.18750000000000000000,0.90243902439024390244,0.4041320624215858425480,4,residential,28579.35
35,829775501,building,,,73.99,14,18.58,0.00277109981464829054,0.81250000000000000000,0.50358680057388809182,0.3959344800980257437620,9,No mapped land use,0
36,1485643785,building,,,494.31,1,8.22,0.38844946871960507240,0E-20,0.80086083213773314204,0.3956380371291619715720,5,residential,28579.35
37,829775499,building,,,70.97,15,22.42,0E-20,0.87500000000000000000,0.39340028694404591105,0.3805200860832137733150,6,No mapped land use,0
38,1485643784,building,,,321.49,2,5.18,0.22987282303499660494,0.06250000000000000000,0.88809182209469153515,0.3771266758424061025210,1,forest,61229.23
39,806448402,building,,,303.15,4,9.61,0.21304435594868877429,0.18750000000000000000,0.76097560975609756098,0.3697604253063047780100,5,residential,28579.35
40,806033550,building,,,256.86,1,3.42,0.17056945183608302288,0E-20,0.93859397417503586801,0.3498059729869439695550,12,forest,8552.55
41,717906744,building,,,103.99,10,21.21,0.03029858141711475289,0.56250000000000000000,0.42812051649928263989,0.3093055875166306931230,5,No mapped land use,0
42,717906743,building,,,80.75,10,20.53,0.00897395900240406673,0.56250000000000000000,0.44763271162123385940,0.3066293970873317845120,5,residential,267.26
43,1485643783,building,,,260.28,2,11.10,0.17370758473876419959,0.06250000000000000000,0.71822094691535150646,0.3036993179701111317740,1,forest,51492.33
44,1485643768,building,,,139.01,7,21.00,0.06243232827439393661,0.37500000000000000000,0.43414634146341463415,0.2677168337487819648890,3,residential,28579.35
45,639679155,building,,,71.58,13,33.34,0.00055972545925015140,0.75000000000000000000,0.08005738880918220947,0.2492411068264547234010,9,residential,7799.70
46,639679154,building,,,87.74,13,36.13,0.01538786221577875245,0.75000000000000000000,0E-20,0.2311551448863115009800,9,residential,4558.77
